id,name,email,phone,website,zip,date
46,Sara,test@mail.com,123,http://google.com,90210,
47,Alice,user47@example.com,,http://google.com,,2026-02-30
48,Sara,test@mail.com,+21266123,https://www.github.com,,2026-02-30
49,John123,user49@example.com,+212683888278,https://openai.com,90210,2026-08-01
50,John,bademail,+21266123,https://google.com,90210,01-01-2026
51,Alice,,061234,https://google.com,ABCDE,2026/13/40
52,Mike,,123,https://www.github.com,,01-01-2026
53,Sara,bademail,123,htp:/bad,ABCDE,
54,Mike,bademail,+21266123,http://google.com,10000,2026-08-01
55,Bob,user55@example.com,+21266123,http://amazon.com,90210,
56,Sara,,123,https://www.github.com,10000,01-01-2026
57,Sara,,+21266123,htp:/bad,10000,2026/13/40
58,Sara,test@mail.com,123,http://google.com,90210,2026-02-30
59,John123,foo@@bar,061234,https://google.com,90210,2026-02-30
60,John,test@mail.com,+21266123,http://amazon.com,90210,01-01-2026
61,Bob,user61@example.com,123,,,2026/13/40
62,,user62@example.com,123,https://google.com,12,
63,Alice,foo@@bar,061234,https://openai.com,10000,01-01-2026
64,Alice,user64@example.com,+21266123,https://google.com,10000,2026/13/40
65,Mike,bademail,,https://www.github.com,,01-01-2026
66,Bob,user66@example.com,+212618137195,,ABCDE,2026/13/40
67,@@Mike,foo@@bar,,htp:/bad,ABCDE,2026/13/40
68,@@Mike,user68@example.com,+21266123,htp:/bad,ABCDE,01-01-2026
69,Sara,test@mail.com,,http://amazon.com,ABCDE,
70,Sara,foo@@bar,,,12,2026/13/40
71,Bob,,061234,https://google.com,90210,
72,Alice,test@mail.com,+21266123,,,2026-08-01
73,Sara,bademail,+21266123,htp:/bad,10000,2026-08-01
74,Lina,foo@@bar,123,https://openai.com,12,01-01-2026
75,Sara,user75@example.com,+21266123,https://openai.com,12,
76,Sara,test@mail.com,061234,http://google.com,90210,2026-02-30
77,Lina,,123,http://amazon.com,,2026-08-01
78,Bob,foo@@bar,061234,https://google.com,ABCDE,01-01-2026
79,John123,,123,http://google.com,ABCDE,
80,Sara,test@mail.com,+21266123,https://www.github.com,90210,2026-02-30
81,John123,user81@example.com,061234,https://google.com,90210,2026/13/40
82,Sara,user82@example.com,,https://www.github.com,90210,2026/13/40
83,Mike,,+212630917484,https://openai.com,,2026-02-30
84,,,123,,90210,01-01-2026
85,Bob,test@mail.com,061234,,90210,01-01-2026
86,Alice,user86@example.com,,https://www.github.com,ABCDE,2026-08-01
87,Lina,bademail,123,https://www.github.com,ABCDE,2026/13/40
88,Mike,user88@example.com,+212699342423,https://www.github.com,,2026/13/40
89,,test@mail.com,123,https://openai.com,12,2026/13/40
90,Mike,,,https://openai.com,,01-01-2026
91,Lina,user91@example.com,+212694793856,,,
92,Mike,foo@@bar,,https://www.github.com,ABCDE,2026/13/40
93,Lina,bademail,,http://amazon.com,10000,2026-08-01
94,Lina,bademail,+21266123,https://openai.com,ABCDE,2026/13/40
95,John,,061234,https://openai.com,10000,2026-08-01
96,John123,test@mail.com,+212692605512,,12,2026/13/40
97,@@Mike,bademail,+21266123,https://google.com,10000,
98,@@Mike,user98@example.com,061234,,10000,2026-08-01
99,Lina,user99@example.com,123,https://www.github.com,,01-01-2026
100,Alice,bademail,061234,https://openai.com,12,2026-08-01
101,,bademail,+212684670430,https://google.com,ABCDE,2026/13/40
102,,,123,http://google.com,,
103,Mike,foo@@bar,+21266123,http://amazon.com,,
104,Sara,user104@example.com,+212653242860,http://google.com,90210,2026/13/40
105,Bob,user105@example.com,,https://openai.com,12,
106,@@Mike,foo@@bar,061234,http://google.com,90210,01-01-2026
107,John,,+212645666908,https://www.github.com,ABCDE,2026/13/40
108,John123,test@mail.com,,http://amazon.com,10000,2026/13/40
109,John123,foo@@bar,,http://amazon.com,10000,
110,Sara,user110@example.com,061234,https://www.github.com,,2026-08-01
111,Alice,foo@@bar,061234,https://google.com,12,2026-02-30
112,John,,+21266123,https://openai.com,90210,2026-02-30
113,Mike,user113@example.com,,https://openai.com,ABCDE,01-01-2026
114,Alice,user114@example.com,061234,https://www.github.com,ABCDE,
115,Bob,bademail,123,,ABCDE,
116,John,test@mail.com,+212675227231,http://amazon.com,ABCDE,
117,Sara,user117@example.com,,http://amazon.com,90210,
118,Bob,test@mail.com,061234,http://google.com,90210,2026/13/40
119,Lina,,123,https://openai.com,ABCDE,2026-02-30
120,Sara,foo@@bar,+21266123,https://google.com,10000,
121,Lina,user121@example.com,123,https://openai.com,,01-01-2026
122,Alice,user122@example.com,123,,ABCDE,01-01-2026
123,Mike,test@mail.com,,https://openai.com,90210,2026/13/40
124,John,user124@example.com,123,http://google.com,12,2026/13/40
125,John,user125@example.com,061234,http://amazon.com,,2026-02-30
126,Sara,foo@@bar,+212689881055,htp:/bad,90210,2026-08-01
127,John,user127@example.com,+21266123,http://amazon.com,10000,2026/13/40
128,John123,test@mail.com,061234,,ABCDE,01-01-2026
129,Sara,user129@example.com,+21266123,https://google.com,,2026-02-30
130,John123,user130@example.com,061234,https://openai.com,,01-01-2026
131,Mike,,,https://google.com,ABCDE,2026-08-01
132,Bob,user132@example.com,061234,http://amazon.com,ABCDE,2026-08-01
133,Bob,,,https://www.github.com,10000,01-01-2026
134,Mike,foo@@bar,+21266123,htp:/bad,90210,2026-02-30
135,Mike,,+212611781460,https://google.com,,01-01-2026
136,,user136@example.com,061234,https://www.github.com,10000,2026-08-01
137,John,user137@example.com,+212641707304,https://www.github.com,10000,
138,Alice,,+21266123,,,2026-08-01
139,,user139@example.com,123,https://www.github.com,90210,2026-08-01
140,,bademail,123,https://google.com,90210,2026/13/40
141,John123,bademail,,http://google.com,10000,2026-02-30
142,Mike,test@mail.com,+21266123,,,2026/13/40
143,Mike,bademail,061234,,,01-01-2026
144,Sara,foo@@bar,+212613709036,https://openai.com,ABCDE,2026-08-01
145,Sara,,061234,https://www.github.com,10000,2026-08-01
146,,,+21266123,,12,01-01-2026
147,Sara,user147@example.com,061234,http://google.com,10000,2026-02-30
148,Lina,foo@@bar,123,http://google.com,12,01-01-2026
149,Sara,,,https://google.com,10000,2026-08-01
150,John123,foo@@bar,061234,http://google.com,,2026/13/40
151,Alice,user151@example.com,,http://amazon.com,12,
152,Lina,,123,htp:/bad,12,
153,Lina,foo@@bar,+21266123,https://openai.com,ABCDE,2026-08-01
154,Alice,,+21266123,,,01-01-2026
155,@@Mike,,123,http://google.com,12,01-01-2026
156,,user156@example.com,,,12,2026-02-30
157,@@Mike,bademail,123,http://amazon.com,90210,01-01-2026
158,Sara,foo@@bar,123,http://amazon.com,10000,2026/13/40
159,John123,user159@example.com,+21266123,https://openai.com,10000,2026/13/40
160,,foo@@bar,+21266123,,10000,2026/13/40
161,Sara,foo@@bar,,https://www.github.com,12,2026-02-30
162,Lina,user162@example.com,,htp:/bad,,01-01-2026
163,Sara,bademail,+212686065093,https://openai.com,,2026/13/40
164,Sara,test@mail.com,+212659634740,https://www.github.com,12,2026-02-30
165,Sara,test@mail.com,123,,10000,01-01-2026
166,@@Mike,foo@@bar,+212645807258,htp:/bad,10000,01-01-2026
167,Sara,user167@example.com,,https://openai.com,,
168,John123,user168@example.com,+212678593770,htp:/bad,90210,2026-08-01
169,Sara,user169@example.com,,htp:/bad,12,2026-02-30
170,Sara,test@mail.com,123,https://www.github.com,,2026-08-01
171,Lina,,+21266123,htp:/bad,,01-01-2026
172,John,bademail,123,https://google.com,ABCDE,2026/13/40
173,@@Mike,user173@example.com,+21266123,http://google.com,,01-01-2026
174,Lina,user174@example.com,+21266123,,90210,2026-08-01
175,Alice,foo@@bar,061234,http://google.com,10000,
176,Sara,foo@@bar,123,https://www.github.com,12,01-01-2026
177,Sara,user177@example.com,+21266123,https://www.github.com,12,2026-08-01
178,Lina,,061234,,90210,01-01-2026
179,Lina,user179@example.com,123,htp:/bad,10000,01-01-2026
180,John,user180@example.com,061234,http://google.com,10000,2026/13/40
181,John123,user181@example.com,+212696567528,http://google.com,90210,
182,@@Mike,test@mail.com,061234,https://openai.com,ABCDE,2026-08-01
183,Sara,user183@example.com,123,https://www.github.com,10000,01-01-2026
184,Lina,foo@@bar,+212639681401,htp:/bad,ABCDE,2026-02-30
185,@@Mike,foo@@bar,061234,http://google.com,ABCDE,
186,Sara,foo@@bar,+212634487086,https://openai.com,10000,2026/13/40
187,Bob,test@mail.com,+21266123,https://www.github.com,,2026-02-30
188,Sara,test@mail.com,061234,htp:/bad,10000,01-01-2026
189,Lina,test@mail.com,+21266123,https://openai.com,12,2026/13/40
190,John,bademail,+212694837468,http://amazon.com,90210,2026-02-30
191,John,user191@example.com,061234,htp:/bad,10000,2026-08-01
192,Sara,user192@example.com,123,htp:/bad,ABCDE,2026-08-01
193,Sara,bademail,061234,https://openai.com,,2026/13/40
194,,test@mail.com,,https://google.com,12,2026-02-30
195,Alice,test@mail.com,+212617495250,https://www.github.com,,2026-02-30
196,,test@mail.com,+212692052671,htp:/bad,,2026-08-01
197,Alice,,061234,http://google.com,10000,
198,John123,user198@example.com,+212694774296,https://openai.com,12,01-01-2026
199,@@Mike,test@mail.com,061234,http://amazon.com,90210,2026-08-01
200,John,bademail,123,,,01-01-2026
201,,,+212656339152,htp:/bad,90210,2026-08-01
202,Sara,foo@@bar,,,ABCDE,
203,John123,user203@example.com,,https://google.com,ABCDE,01-01-2026
204,Bob,,+212621376107,https://openai.com,12,2026-02-30
205,Alice,,+21266123,htp:/bad,90210,2026/13/40
206,Lina,bademail,061234,http://google.com,12,
207,Sara,user207@example.com,+212697861716,https://www.github.com,90210,01-01-2026
208,Bob,user208@example.com,123,http://google.com,,01-01-2026
209,John123,user209@example.com,123,,90210,2026-02-30
210,Sara,user210@example.com,,https://google.com,10000,
211,Sara,user211@example.com,,https://openai.com,90210,
212,,user212@example.com,061234,http://amazon.com,ABCDE,01-01-2026
213,Sara,,,https://google.com,ABCDE,
214,Sara,bademail,+212633317150,https://www.github.com,12,
215,Sara,test@mail.com,+21266123,https://openai.com,,2026/13/40
216,Mike,foo@@bar,+212664395769,https://openai.com,ABCDE,
217,Alice,test@mail.com,+21266123,http://amazon.com,90210,01-01-2026
218,John,,+212667410357,https://www.github.com,ABCDE,2026/13/40
219,Sara,bademail,123,htp:/bad,90210,2026-08-01
220,John123,foo@@bar,+212685869859,http://google.com,10000,2026-08-01
221,Alice,test@mail.com,+21266123,htp:/bad,10000,01-01-2026
222,Lina,bademail,123,https://google.com,,01-01-2026
223,Alice,foo@@bar,123,http://amazon.com,90210,2026-02-30
224,Sara,bademail,+21266123,http://google.com,12,01-01-2026
225,@@Mike,test@mail.com,061234,https://www.github.com,,
226,Alice,test@mail.com,,https://www.github.com,10000,2026-08-01
227,Lina,,123,http://google.com,,
228,Mike,,123,http://google.com,,2026-02-30
229,John123,user229@example.com,123,,90210,01-01-2026
230,Sara,test@mail.com,061234,,12,
231,Bob,,061234,http://amazon.com,10000,2026-08-01
232,Lina,user232@example.com,+21266123,https://google.com,10000,2026-08-01
233,Sara,user233@example.com,123,,,2026-08-01
234,John,,,http://google.com,,2026/13/40
235,Bob,bademail,+21266123,https://www.github.com,ABCDE,
236,John123,,123,,ABCDE,2026-08-01
237,,user237@example.com,,https://www.github.com,12,
238,John,user238@example.com,+212652028935,https://google.com,,2026-08-01
239,Lina,,123,,,2026/13/40
240,John,test@mail.com,061234,https://www.github.com,12,
241,John,user241@example.com,123,htp:/bad,90210,01-01-2026
242,Lina,foo@@bar,+21266123,https://openai.com,90210,01-01-2026
243,John,,+21266123,,ABCDE,2026-08-01
244,Alice,user244@example.com,061234,https://www.github.com,90210,2026-08-01
245,Sara,test@mail.com,061234,,10000,2026-08-01
246,John123,user246@example.com,,https://google.com,12,
247,Sara,bademail,123,,90210,
248,Bob,foo@@bar,,http://google.com,10000,01-01-2026
249,Lina,foo@@bar,123,http://google.com,90210,2026/13/40
250,,user250@example.com,,htp:/bad,10000,2026-02-30
251,,,123,http://google.com,,
252,John,foo@@bar,+212695477912,htp:/bad,10000,2026/13/40
253,@@Mike,user253@example.com,+21266123,https://www.github.com,ABCDE,2026-08-01
254,John,bademail,+212632414229,http://amazon.com,12,01-01-2026
255,Sara,foo@@bar,+21266123,https://www.github.com,,
256,,test@mail.com,+212616549903,,ABCDE,2026-02-30
257,John123,test@mail.com,061234,https://www.github.com,90210,
258,Alice,,+21266123,https://www.github.com,10000,2026-08-01
259,@@Mike,test@mail.com,123,http://google.com,ABCDE,
260,John,bademail,+212653647375,http://google.com,10000,2026-02-30
261,Mike,foo@@bar,,https://www.github.com,90210,01-01-2026
262,Sara,test@mail.com,+21266123,https://google.com,90210,01-01-2026
263,Sara,,+21266123,http://amazon.com,10000,2026/13/40
264,John123,bademail,+212622555387,http://amazon.com,,01-01-2026
265,,user265@example.com,123,htp:/bad,10000,
266,John,user266@example.com,123,,90210,01-01-2026
267,@@Mike,user267@example.com,,,90210,2026-02-30
268,,test@mail.com,123,http://amazon.com,ABCDE,2026/13/40
269,,test@mail.com,+21266123,http://amazon.com,10000,2026-02-30
270,Sara,foo@@bar,,https://openai.com,12,
271,Bob,bademail,+212665252335,https://openai.com,10000,2026-08-01
272,,user272@example.com,061234,https://openai.com,12,2026/13/40
273,@@Mike,test@mail.com,+212637762503,,10000,2026-08-01
274,Bob,foo@@bar,+21266123,http://google.com,90210,01-01-2026
275,@@Mike,,061234,https://openai.com,ABCDE,01-01-2026
276,Mike,test@mail.com,123,htp:/bad,90210,2026-08-01
277,@@Mike,bademail,061234,http://google.com,90210,2026/13/40
278,,bademail,+212653534263,,,2026-08-01
279,Mike,foo@@bar,+212634004909,http://google.com,,2026-02-30
280,John123,user280@example.com,+21266123,htp:/bad,90210,2026-02-30
281,,test@mail.com,+212616011178,https://www.github.com,90210,
282,Sara,user282@example.com,123,htp:/bad,,
283,Sara,,123,https://google.com,ABCDE,01-01-2026
284,Mike,,+212687951048,http://google.com,ABCDE,2026/13/40
285,Lina,test@mail.com,,https://www.github.com,12,01-01-2026
286,Lina,bademail,+21266123,https://google.com,10000,2026-02-30
287,Sara,user287@example.com,061234,htp:/bad,ABCDE,2026-02-30
288,Sara,user288@example.com,123,htp:/bad,,01-01-2026
289,@@Mike,,061234,https://www.github.com,,2026-08-01
290,John,bademail,+21266123,http://amazon.com,,2026-02-30
291,Sara,bademail,061234,http://google.com,90210,01-01-2026
292,Bob,foo@@bar,123,http://amazon.com,90210,01-01-2026
293,Bob,bademail,,https://google.com,,01-01-2026
294,Sara,test@mail.com,,http://amazon.com,,2026-02-30
295,Alice,user295@example.com,,,10000,2026-08-01
296,,user296@example.com,+212684303048,https://www.github.com,,2026/13/40
297,Sara,user297@example.com,,https://openai.com,90210,01-01-2026
298,Mike,bademail,+21266123,https://www.github.com,10000,01-01-2026
299,@@Mike,user299@example.com,061234,htp:/bad,12,2026-02-30
300,Bob,user300@example.com,,http://google.com,10000,2026-08-01
301,Sara,,123,htp:/bad,ABCDE,2026-02-30
302,John,user302@example.com,+212691678686,,,2026-08-01
303,John,user303@example.com,+21266123,https://google.com,90210,2026/13/40
304,Bob,user304@example.com,061234,http://google.com,10000,2026/13/40
305,John123,bademail,061234,htp:/bad,90210,
306,Alice,user306@example.com,061234,https://openai.com,12,2026-02-30
307,Sara,test@mail.com,+212650752144,https://openai.com,,2026-02-30
308,Alice,user308@example.com,+21266123,https://google.com,90210,01-01-2026
309,John,foo@@bar,+212613015184,http://google.com,12,2026/13/40
310,Sara,test@mail.com,+212683096313,https://openai.com,90210,2026-08-01
311,Sara,foo@@bar,061234,http://amazon.com,90210,2026/13/40
312,,bademail,+212623916662,https://www.github.com,90210,01-01-2026
313,Alice,user313@example.com,061234,http://amazon.com,90210,2026-08-01
314,,foo@@bar,+21266123,http://amazon.com,,
315,Alice,bademail,,htp:/bad,,2026/13/40
316,,test@mail.com,+212675399169,https://google.com,,2026-02-30
317,Lina,user317@example.com,123,http://google.com,,
318,Sara,,+21266123,https://google.com,10000,2026/13/40
319,Mike,foo@@bar,061234,http://google.com,ABCDE,2026-08-01
320,@@Mike,bademail,,https://openai.com,10000,2026-02-30
321,Lina,user321@example.com,123,http://amazon.com,ABCDE,2026-02-30
322,John,bademail,+21266123,https://www.github.com,ABCDE,2026-08-01
323,Alice,,123,https://openai.com,12,01-01-2026
324,,,+21266123,http://amazon.com,90210,2026/13/40
325,John123,user325@example.com,,htp:/bad,12,
326,Lina,foo@@bar,,https://www.github.com,10000,
327,John,bademail,,https://openai.com,,2026-02-30
328,Mike,bademail,+212694824642,https://google.com,10000,2026-02-30
329,Sara,user329@example.com,+212671658025,http://amazon.com,ABCDE,2026-08-01
330,Sara,user330@example.com,061234,https://google.com,ABCDE,2026-02-30
331,John123,bademail,+212637704162,https://openai.com,90210,2026-02-30
332,,user332@example.com,,https://google.com,ABCDE,01-01-2026
333,John,foo@@bar,,http://google.com,90210,01-01-2026
334,,user334@example.com,123,,10000,
335,@@Mike,user335@example.com,,http://google.com,12,
336,,user336@example.com,+212614088871,http://amazon.com,90210,2026-02-30
337,Lina,foo@@bar,+21266123,https://www.github.com,90210,
338,,user338@example.com,061234,http://google.com,10000,2026/13/40
339,John123,user339@example.com,123,,12,2026/13/40
340,@@Mike,,,https://google.com,90210,2026-02-30
341,Sara,user341@example.com,061234,htp:/bad,12,01-01-2026
342,John123,user342@example.com,,,90210,
343,Alice,bademail,123,http://google.com,ABCDE,2026/13/40
344,Sara,test@mail.com,,htp:/bad,,01-01-2026
345,Mike,user345@example.com,+21266123,http://google.com,10000,
346,@@Mike,bademail,+21266123,,10000,2026/13/40
347,Mike,test@mail.com,+21266123,,12,
348,John,user348@example.com,,,90210,2026-02-30
349,John,foo@@bar,123,https://google.com,10000,2026-08-01
350,Lina,,123,https://google.com,10000,2026-08-01
351,,test@mail.com,+21266123,http://google.com,12,2026-02-30
352,,bademail,+212639512157,htp:/bad,10000,2026-08-01
353,Lina,foo@@bar,+212660071407,https://www.github.com,10000,2026-02-30
354,,user354@example.com,,https://openai.com,10000,2026/13/40
355,@@Mike,bademail,061234,,ABCDE,2026-02-30
356,John123,user356@example.com,+212664843303,https://openai.com,12,
357,,bademail,,htp:/bad,10000,2026/13/40
358,Mike,user358@example.com,+21266123,http://amazon.com,12,
359,@@Mike,user359@example.com,+212635563410,https://www.github.com,10000,2026-02-30
360,John,test@mail.com,123,,12,2026-08-01
361,Lina,user361@example.com,+21266123,http://google.com,ABCDE,2026-02-30
362,@@Mike,user362@example.com,+21266123,htp:/bad,12,
363,Sara,user363@example.com,+212626768558,http://google.com,90210,01-01-2026
364,,user364@example.com,061234,http://amazon.com,90210,2026-02-30
365,Alice,user365@example.com,061234,https://www.github.com,,2026-08-01
366,@@Mike,user366@example.com,123,http://google.com,10000,2026-02-30
367,,,+21266123,https://google.com,90210,2026-02-30
368,Mike,user368@example.com,061234,http://google.com,,2026-02-30
369,Bob,bademail,123,http://amazon.com,12,01-01-2026
370,Sara,foo@@bar,+21266123,https://openai.com,ABCDE,2026-02-30
371,Sara,user371@example.com,+21266123,,,
372,@@Mike,test@mail.com,+212638021149,https://google.com,12,2026/13/40
373,Alice,user373@example.com,+21266123,https://google.com,90210,2026-02-30
374,John123,user374@example.com,123,http://google.com,,01-01-2026
375,Lina,foo@@bar,061234,https://google.com,ABCDE,2026/13/40
376,John123,,123,http://google.com,90210,2026-08-01
377,John123,foo@@bar,+212648438239,https://www.github.com,90210,
378,@@Mike,foo@@bar,061234,htp:/bad,10000,2026/13/40
379,John123,user379@example.com,+212615356749,http://amazon.com,10000,
380,Alice,foo@@bar,123,htp:/bad,,2026/13/40
381,,user381@example.com,061234,http://amazon.com,ABCDE,2026-08-01
382,Lina,foo@@bar,061234,htp:/bad,10000,2026-08-01
383,Bob,user383@example.com,123,htp:/bad,12,2026/13/40
384,Sara,bademail,061234,,,2026-08-01
385,John123,bademail,123,https://www.github.com,10000,2026-08-01
386,,user386@example.com,+212646371213,htp:/bad,12,
387,Alice,foo@@bar,,http://google.com,90210,
388,Lina,user388@example.com,061234,htp:/bad,ABCDE,2026-08-01
389,John,test@mail.com,123,http://amazon.com,ABCDE,01-01-2026
390,John123,foo@@bar,+212641557525,https://openai.com,ABCDE,
391,Mike,test@mail.com,061234,https://google.com,10000,2026-08-01
392,Sara,foo@@bar,+21266123,htp:/bad,,
393,Lina,test@mail.com,+21266123,https://google.com,10000,2026-08-01
394,Sara,user394@example.com,123,https://google.com,ABCDE,2026-08-01
395,Lina,user395@example.com,+212668054291,https://openai.com,12,2026-02-30
396,,,+212658183402,htp:/bad,10000,
397,Mike,test@mail.com,,http://google.com,,2026-08-01
398,,,+21266123,https://google.com,,2026-08-01
399,Mike,test@mail.com,+212680049827,http://amazon.com,90210,2026-08-01
400,John123,,061234,http://amazon.com,ABCDE,2026-08-01
401,Sara,bademail,061234,http://amazon.com,ABCDE,2026-08-01
402,Alice,,,http://amazon.com,,2026-08-01
403,Lina,user403@example.com,061234,https://openai.com,10000,01-01-2026
404,Mike,,+212617437621,htp:/bad,ABCDE,2026-02-30
405,John123,,+212624513261,https://www.github.com,90210,2026/13/40
406,,test@mail.com,123,https://google.com,,2026-08-01
407,Mike,,,htp:/bad,,
408,@@Mike,user408@example.com,,http://amazon.com,,01-01-2026
409,,test@mail.com,+212631260381,https://www.github.com,90210,
410,Sara,bademail,123,,ABCDE,2026/13/40
411,Alice,user411@example.com,+21266123,http://google.com,10000,2026/13/40
412,,test@mail.com,+21266123,https://google.com,90210,
413,Lina,bademail,+212655752365,,ABCDE,2026-02-30
414,John,bademail,+212663891415,htp:/bad,90210,2026-02-30
415,,user415@example.com,123,,90210,
416,Alice,,123,htp:/bad,10000,
417,Bob,bademail,061234,htp:/bad,90210,01-01-2026
418,John123,test@mail.com,,,12,
419,Lina,user419@example.com,061234,htp:/bad,12,2026-08-01
420,John,bademail,,htp:/bad,12,2026-02-30
421,Sara,bademail,123,https://www.github.com,,2026-02-30
422,,user422@example.com,061234,https://www.github.com,10000,2026-08-01
423,Lina,,+212612790719,htp:/bad,90210,2026-08-01
424,,test@mail.com,123,,ABCDE,2026/13/40
425,Alice,test@mail.com,,http://amazon.com,10000,
426,,test@mail.com,123,https://openai.com,ABCDE,2026/13/40
427,Sara,,+21266123,http://google.com,12,2026-02-30
428,Mike,bademail,,,90210,
429,@@Mike,foo@@bar,061234,,12,
430,Alice,bademail,061234,,10000,01-01-2026
431,Mike,bademail,061234,https://www.github.com,,2026-02-30
432,Mike,test@mail.com,061234,http://amazon.com,90210,2026-08-01
433,John,,,htp:/bad,ABCDE,2026-08-01
434,Sara,test@mail.com,061234,http://amazon.com,12,2026-08-01
435,Sara,test@mail.com,+212637193745,http://amazon.com,12,01-01-2026
436,Mike,foo@@bar,+212695132632,http://amazon.com,12,2026-08-01
437,Lina,foo@@bar,+21266123,https://openai.com,12,2026-08-01
438,Lina,foo@@bar,123,https://openai.com,,2026-02-30
439,John123,foo@@bar,,,,
440,,user440@example.com,123,https://openai.com,10000,2026-02-30
441,Alice,user441@example.com,+21266123,http://google.com,12,2026/13/40
442,Alice,foo@@bar,061234,https://google.com,12,
443,,user443@example.com,+21266123,htp:/bad,12,01-01-2026
444,John123,user444@example.com,+212631663213,http://amazon.com,,2026-08-01
445,Mike,user445@example.com,123,http://amazon.com,90210,
446,John123,,+21266123,htp:/bad,,2026-08-01
447,John,bademail,+212644915059,htp:/bad,90210,
448,Lina,foo@@bar,061234,https://google.com,ABCDE,2026/13/40
449,John123,user449@example.com,,htp:/bad,10000,01-01-2026
450,@@Mike,bademail,123,https://openai.com,10000,01-01-2026
451,Sara,foo@@bar,,http://google.com,10000,2026/13/40
452,John123,bademail,+21266123,https://www.github.com,12,2026-02-30
453,Sara,test@mail.com,+21266123,http://amazon.com,10000,2026/13/40
454,,user454@example.com,+212696381805,htp:/bad,ABCDE,01-01-2026
455,John,bademail,061234,https://google.com,,2026-08-01
456,Sara,user456@example.com,+212691690743,http://google.com,10000,01-01-2026
457,John,user457@example.com,123,https://openai.com,,
458,Lina,user458@example.com,+212669648133,https://openai.com,,2026/13/40
459,Lina,user459@example.com,+212653688291,http://google.com,ABCDE,2026-02-30
460,Lina,test@mail.com,+212666210590,http://google.com,,2026-08-01
461,Sara,foo@@bar,123,https://www.github.com,10000,2026/13/40
462,@@Mike,bademail,+21266123,https://www.github.com,90210,2026-02-30
463,Mike,,+212644422461,htp:/bad,10000,2026/13/40
464,@@Mike,user464@example.com,123,http://google.com,10000,2026/13/40
465,,test@mail.com,,htp:/bad,90210,2026/13/40
466,,user466@example.com,123,http://amazon.com,10000,2026-02-30
467,,user467@example.com,123,htp:/bad,90210,01-01-2026
468,@@Mike,user468@example.com,+21266123,,90210,2026-08-01
469,Sara,user469@example.com,+212659588146,,12,2026-02-30
470,Sara,,,https://www.github.com,12,
471,Bob,foo@@bar,,https://www.github.com,,01-01-2026
472,Bob,,+21266123,https://www.github.com,90210,2026-08-01
473,John123,bademail,061234,,ABCDE,01-01-2026
474,Sara,bademail,+21266123,http://google.com,ABCDE,
475,Sara,test@mail.com,+21266123,http://amazon.com,10000,01-01-2026
476,Mike,user476@example.com,123,https://google.com,90210,2026-08-01
477,@@Mike,user477@example.com,123,http://amazon.com,90210,2026/13/40
478,Sara,user478@example.com,123,,ABCDE,
